pid,creator_email,project_name,tag,project_date,day_of_week,start_time,end_time,curr_capacity,goal_capacity,city,state,description
1,vulputate@etnetuset.com,,Politics,12/20/2018,,11,14,0,41,,NE,
2,odio.auctor@interdumSed.net,,Disaster Relief,10/21/2017,,7,10,0,1,,MA,
3,ligula.Aliquam.erat@Quisqueliberolacus.co.uk,,Homeless,4/7/2017,,17,19,0,19,,HI,
4,Fusce.aliquet.magna@rutrumjustoPraesent.org,,LGBT,9/6/2018,,13,15,0,17,,OH,
5,et.risus@vitaeerat.com,,Seniors,1/25/2019,,15,16,0,27,,DE,
6,luctus.lobortis@semperdui.org,,Disaster Relief,3/4/2018,,7,8,0,43,,CO,
7,egestas.lacinia@sitametfaucibus.net,,Politics,2/8/2017,,17,19,0,4,,WI,
8,neque@tincidunt.co.uk,,Disaster Relief,9/8/2017,,15,17,0,2,,IL,
9,in.dolor@Aliquamvulputate.org,,Women,3/6/2017,,9,11,0,12,,CO,
10,tempor.diam@natoquepenatibus.co.uk,,LGBT,11/4/2018,,16,18,0,35,,VT,
11,tortor@nuncQuisque.ca,,Arts and Crafts,7/6/2017,,8,10,0,38,,MO,
12,venenatis.a@ullamcorpereu.com,,Education,3/29/2019,,13,14,0,33,,IA,
13,risus.Donec.egestas@pede.co.uk,,Youth,4/15/2017,,10,11,0,19,,PA,
14,sociis@idmagnaet.edu,,Disaster Relief,2/26/2019,,12,15,0,16,,KS,
15,justo.faucibus.lectus@estMauris.ca,,Hunger,5/23/2017,,15,16,0,21,,VA,
16,aliquam@augue.com,,Animals,1/31/2017,,8,10,0,7,,MD,
17,luctus@lorem.org,,Youth,12/18/2018,,12,15,0,8,,KY,
18,interdum.ligula.eu@urnaNullam.com,,Technology,12/24/2018,,17,20,0,38,,LA,
19,dolor.sit.amet@tinciduntadipiscing.ca,,Seniors,9/15/2017,,13,14,0,37,,VA,
20,Vivamus.nibh.dolor@sedestNunc.org,,International,6/27/2017,,11,12,0,45,,AZ,
21,egestas@lacinia.net,,Arts and Crafts,12/17/2017,,15,17,0,45,,KY,
22,laoreet.lectus@antedictum.co.uk,,Seniors,8/23/2018,,14,16,0,34,,IL,
23,in@nisiAenean.ca,,Sports,11/8/2018,,15,18,0,20,,MO,
24,Cras@sollicitudin.ca,,Animals,9/4/2018,,8,10,0,1,,UT,
25,Maecenas.iaculis.aliquet@vitaevelitegestas.org,,Politics,9/22/2017,,16,19,0,1,,KY,
26,imperdiet@eu.net,,Arts and Crafts,2/7/2018,,17,20,0,45,,PA,
27,tempus@Nullam.net,,Environment,5/2/2017,,14,17,0,13,,KY,
28,magna@sitamet.org,,Human Rights,1/8/2019,,9,12,0,11,,HI,
29,Mauris@sedconsequat.ca,,LGBT,5/21/2017,,15,17,0,45,,ID,
30,non@elitEtiamlaoreet.org,,Health,1/9/2019,,17,18,0,5,,PA,
31,lorem@antebibendumullamcorper.edu,,Politics,6/3/2017,,15,16,0,20,,LA,
32,egestas.Duis.ac@pharetrafelis.org,,Faith-based,8/3/2017,,9,12,0,21,,MA,
33,Sed.malesuada@dictum.org,,International,5/9/2017,,17,18,0,2,,KY,
34,pharetra.ut.pharetra@primisin.net,,Women,5/24/2017,,17,19,0,12,,PA,
35,pede.nonummy@semper.ca,,Homeless,5/6/2018,,17,19,0,6,,AZ,
36,tincidunt.Donec.vitae@magnaUt.com,,Arts and Crafts,11/19/2017,,9,12,0,18,,OH,
37,ac@eget.com,,Education,6/4/2017,,11,13,0,15,,UT,
38,Integer@semperrutrum.org,,Health,10/5/2018,,15,17,0,13,,OR,
39,amet.ultricies.sem@Proinultrices.edu,,Technology,8/15/2018,,16,18,0,42,,TX,
40,vel.quam.dignissim@nasceturridiculusmus.co.uk,,Education,2/25/2019,,8,10,0,45,,UT,
41,non@tincidunt.net,,Women,4/2/2019,,15,17,0,43,,KY,
42,purus.Maecenas.libero@diamProindolor.co.uk,,Environment,3/12/2018,,8,10,0,41,,KS,
43,at.pede@nasceturridiculusmus.edu,,Hunger,12/9/2017,,14,17,0,9,,KS,
44,cursus@sem.com,,Women,4/15/2018,,8,10,0,17,,TX,
45,turpis@lacus.co.uk,,LGBT,4/28/2018,,17,18,0,31,,WA,
46,volutpat.Nulla@semconsequatnec.org,,Homeless,7/23/2018,,13,14,0,21,,ID,
47,neque.pellentesque@non.co.uk,,Homeless,4/14/2018,,17,19,0,27,,WI,
48,lectus@velitCraslorem.co.uk,,Homeless,8/2/2017,,12,15,0,17,,AL,
49,nulla.vulputate@nonleoVivamus.net,,Environment,2/18/2018,,16,17,0,25,,DE,
50,dui.nec@aliquamiaculislacus.edu,,Women,7/17/2018,,15,18,0,29,,MS,
51,lacus@arcuCurabitur.edu,,Seniors,2/25/2019,,16,17,0,50,,KY,
