creator_email,project_name,tag,start_date,end_date,curr_capacity,goal_capacity,city,state,description
vestibulum.massa@variusorciin.ca,Seniors Guest Speaker,Technology,2019-07-06 04:00:00,2019-07-06 23:00:00,0,10,Gaithersburg,OK,
ridiculus.mus@tortordictum.ca,Faith-based Charity Auction,Sports,2019-11-07 20:00:00,2019-11-08 05:00:00,0,14,Jackson,AZ,
ultrices@ligulaNullamenim.org,Women Charity Auction,Technology,2018-07-03 17:00:00,2018-07-04 03:00:00,0,25,Springfield,UT,
massa@egetvolutpat.net,Homeless Drive,Animals,2018-08-01 05:00:00,2018-08-01 14:00:00,0,17,Portland,AK,
ornare@posuere.ca,Seniors Social Media Fundraising,Youth,2018-01-12 00:00:00,2018-01-12 01:00:00,0,12,Naperville,VA,
Suspendisse.sagittis.Nullam@auctor.ca,Environment Guest Speaker,Homeless,2018-12-22 14:00:00,2018-12-22 16:00:00,0,10,Chicago,CO,
lectus.ante.dictum@et.edu,Education Charity Auction,Animals,2019-01-04 14:00:00,2019-01-04 18:00:00,0,10,Gresham,GA,
velit@nunc.ca,Youth Guest Speaker,Disaster Relief,2019-10-06 14:00:00,2019-10-07 07:00:00,0,25,Bowling Green,HI,
arcu.vel.quam@lacusQuisque.com,Sports Walk,Animals,2019-10-18 21:00:00,2019-10-19 03:00:00,0,6,Lewiston,MA,
Integer.id.magna@venenatislacusEtiam.org,Environment Guest Speaker,Disaster Relief,2018-01-23 09:00:00,2018-01-23 18:00:00,0,3,Bellevue,NV,
euismod@urnaVivamusmolestie.com,Human Rights Charity Auction,Faith-based,2019-05-11 03:00:00,2019-05-11 22:00:00,0,12,West Valley City,DE,
velit.justo@Aliquamadipiscing.ca,Technology Charity Auction,International,2019-06-09 21:00:00,2019-06-10 06:00:00,0,12,Honolulu,UT,
ultrices.iaculis.odio@leo.com,Human Rights Guest Speaker,Education,2019-01-31 04:00:00,2019-01-31 06:00:00,0,3,San Antonio,KS,
nonummy.ipsum@magnaa.co.uk,LGBT Walk,Animals,2019-11-10 14:00:00,2019-11-10 16:00:00,0,21,Montpelier,OR,
Cras.convallis.convallis@mauris.com,Human Rights Foundation,Politics,2018-01-31 11:00:00,2018-01-31 14:00:00,0,7,Cleveland,OR,
quis@nequenon.org,Youth Foundation,Hunger,2019-06-28 09:00:00,2019-06-29 05:00:00,0,10,Madison,CT,
et@tortordictum.com,Seniors Guest Speaker,Education,2019-08-19 05:00:00,2019-08-19 21:00:00,0,20,Salem,WI,
ornare.facilisis.eget@convallis.org,Sports Drive,Hunger,2019-06-05 18:00:00,2019-06-06 14:00:00,0,4,Juneau,MA,
Nunc.ac@facilisismagnatellus.edu,Homeless Foundation,Youth,2018-03-01 04:00:00,2018-03-02 01:00:00,0,22,Springfield,GA,
pretium.neque.Morbi@Duisacarcu.ca,Hunger Social Media Fundraising,Disaster Relief,2018-11-28 22:00:00,2018-11-29 20:00:00,0,12,Glendale,MT,
ligula.Donec@nunc.net,Faith-based Charity,International,2020-01-21 09:00:00,2020-01-21 12:00:00,0,24,Bozeman,HI,
aliquam.eu@Donecnibh.co.uk,Women Drive,Disaster Relief,2019-09-17 10:00:00,2019-09-18 01:00:00,0,5,Gresham,IA,
Suspendisse.tristique@massa.ca,Health Charity,Sports,2018-11-14 23:00:00,2018-11-15 01:00:00,0,23,Chesapeake,ME,
et.netus@est.com,Faith-based Foundation,Environment,2019-04-28 19:00:00,2019-04-29 03:00:00,0,4,New Orleans,IL,
eget@ultricessit.com,Women Social Media Fundraising,Politics,2018-11-05 00:00:00,2018-11-05 17:00:00,0,20,Racine,CT,
elit.erat.vitae@ligulatortor.net,Environment Guest Speaker,Politics,2018-04-12 16:00:00,2018-04-12 22:00:00,0,24,Oklahoma City,OR,
elit.a.feugiat@Donecvitae.ca,Animals Drive,LGBT,2019-09-27 00:00:00,2019-09-27 23:00:00,0,11,South Burlington,NV,
sit.amet.dapibus@tacitisociosquad.co.uk,Faith-based Social Media Fundraising,Seniors,2018-09-17 09:00:00,2018-09-18 04:00:00,0,21,Jacksonville,DE,
at@liberoestcongue.org,Health Charity,Politics,2018-10-29 17:00:00,2018-10-29 23:00:00,0,13,Kenosha,MO,
suscipit@erat.co.uk,Homeless Drive,Women,2018-10-18 05:00:00,2018-10-19 05:00:00,0,21,Butte,AR,
blandit@in.edu,Faith-based Charity,Animals,2018-10-25 15:00:00,2018-10-26 01:00:00,0,5,Kearney,NV,
vitae.velit.egestas@ipsum.net,Health Guest Speaker,Education,2019-04-02 23:00:00,2019-04-03 12:00:00,0,7,Knoxville,VA,
ipsum.Suspendisse@velvulputate.net,Politics Charity Auction,Disaster Relief,2018-12-04 10:00:00,2018-12-05 06:00:00,0,15,Hillsboro,MI,
dui.Suspendisse.ac@Maecenasmi.org,Youth Charity Auction,Environment,2018-03-20 17:00:00,2018-03-21 15:00:00,0,14,Burlington,OK,
nec.mollis@iaculisneceleifend.ca,Seniors Drive,Arts and Crafts,2019-10-14 08:00:00,2019-10-14 20:00:00,0,10,Fairbanks,KY,
scelerisque.mollis.Phasellus@scelerisque.com,Women Guest Speaker,Faith-based,2019-12-13 22:00:00,2019-12-14 05:00:00,0,15,Fairbanks,NE,
sem.mollis.dui@justoPraesentluctus.edu,Youth Drive,Disaster Relief,2018-06-02 17:00:00,2018-06-03 09:00:00,0,23,Seattle,UT,
vel.convallis.in@Maecenasornareegestas.com,Technology Charity Auction,Seniors,2019-11-23 06:00:00,2019-11-24 04:00:00,0,14,Topeka,MS,
amet.dapibus@elita.edu,Sports Drive,Youth,2020-04-13 21:00:00,2020-04-14 00:00:00,0,15,Meridian,AZ,
libero.est@Aenean.ca,Faith-based Guest Speaker,Arts and Crafts,2018-10-21 01:00:00,2018-10-21 22:00:00,0,17,Auburn,AR,
fermentum@dolor.com,Disaster Relief Drive,Technology,2019-08-21 23:00:00,2019-08-22 14:00:00,0,23,Atlanta,CO,
euismod@velitjustonec.ca,Politics Foundation,Hunger,2018-08-30 01:00:00,2018-08-30 13:00:00,0,14,Cheyenne,AL,
arcu.Vivamus@enimnonnisi.net,Faith-based Drive,Hunger,2019-09-19 09:00:00,2019-09-20 01:00:00,0,2,Birmingham,IN,
diam.Sed.diam@nisiMauris.com,Human Rights Drive,Animals,2019-10-28 00:00:00,2019-10-28 08:00:00,0,19,Tucson,IA,
egestas@nisiCum.ca,Animals Social Media Fundraising,Youth,2019-08-01 16:00:00,2019-08-02 13:00:00,0,4,Lincoln,KS,
pede.Praesent@loremtristiquealiquet.com,Disaster Relief Social Media Fundraising,Seniors,2018-01-15 19:00:00,2018-01-16 12:00:00,0,7,Sterling Heights,CO,
lacinia.vitae.sodales@aclibero.org,Seniors Drive,Hunger,2018-07-09 04:00:00,2018-07-10 04:00:00,0,5,Akron,TN,
rutrum@posuere.org,International Charity,Homeless,2019-09-07 02:00:00,2019-09-07 04:00:00,0,24,Mobile,CT,
ac.turpis@ornareIn.org,Sports Foundation,Education,2020-04-13 07:00:00,2020-04-13 21:00:00,0,5,Jefferson City,AK,
ultrices.posuere@varius.com,Hunger Charity,Animals,2020-03-23 16:00:00,2020-03-24 00:00:00,0,12,Boise,MA,
natoque.penatibus@turpis.ca,Technology Foundation,Seniors,2019-11-14 10:00:00,2019-11-15 10:00:00,0,20,Bozeman,NV,
fringilla.est.Mauris@eudui.edu,LGBT Foundation,Politics,2019-03-24 22:00:00,2019-03-25 04:00:00,0,20,Houston,WI,
magna.et.ipsum@acmattisornare.edu,Women Walk,Hunger,2018-12-13 08:00:00,2018-12-13 14:00:00,0,23,Lansing,WI,
sem@adipiscing.org,Animals Charity,International,2020-02-28 15:00:00,2020-02-29 14:00:00,0,24,Kapolei,MS,
cursus.in.hendrerit@atlacusQuisque.ca,Politics Walk,LGBT,2019-08-06 01:00:00,2019-08-06 08:00:00,0,7,Newark,MO,
Pellentesque.habitant.morbi@sit.ca,Health Guest Speaker,Sports,2018-05-05 06:00:00,2018-05-05 07:00:00,0,25,Stamford,MI,
mollis.non.cursus@ac.org,Education Charity Auction,Health,2019-06-28 10:00:00,2019-06-29 03:00:00,0,22,Rochester,PA,
tristique@odio.org,Animals Guest Speaker,Hunger,2019-10-25 17:00:00,2019-10-25 21:00:00,0,24,Wichita,CO,
id.risus@Mauris.ca,Seniors Drive,LGBT,2018-09-02 05:00:00,2018-09-02 23:00:00,0,21,Hattiesburg,HI,
ornare.elit@pedeSuspendisse.edu,Seniors Guest Speaker,Homeless,2019-09-12 07:00:00,2019-09-13 04:00:00,0,13,Birmingham,WY,
vulputate@idliberoDonec.co.uk,LGBT Charity Auction,Seniors,2019-11-22 01:00:00,2019-11-22 22:00:00,0,22,College,OK,
diam@Innec.com,Disaster Relief Guest Speaker,Hunger,2019-04-24 20:00:00,2019-04-24 22:00:00,0,21,Owensboro,CT,
tincidunt@inlobortis.org,Health Guest Speaker,Seniors,2019-02-21 00:00:00,2019-02-21 08:00:00,0,16,Meridian,PA,
dignissim.magna@lorem.net,Arts and Crafts Charity,Education,2019-03-31 06:00:00,2019-03-31 12:00:00,0,11,Fort Wayne,UT,
Aliquam.gravida@sodalesnisimagna.net,Politics Social Media Fundraising,Animals,2019-04-12 23:00:00,2019-04-13 23:00:00,0,12,Philadelphia,ID,
pellentesque.Sed@diamSeddiam.net,Youth Charity,Animals,2019-05-06 15:00:00,2019-05-07 11:00:00,0,7,Nampa,AZ,
Morbi.quis.urna@aliquam.net,Human Rights Guest Speaker,Arts and Crafts,2018-05-16 21:00:00,2018-05-17 13:00:00,0,12,Montgomery,WY,
Aliquam.tincidunt@non.org,Health Guest Speaker,Hunger,2019-12-08 22:00:00,2019-12-09 19:00:00,0,2,Tuscaloosa,VA,
ac@semper.co.uk,Women Walk,Seniors,2018-10-29 12:00:00,2018-10-29 22:00:00,0,25,Davenport,CT,
ac@posuereatvelit.com,Hunger Drive,Disaster Relief,2020-01-29 13:00:00,2020-01-30 01:00:00,0,16,Jackson,KS,
amet.ornare.lectus@famesac.org,Homeless Drive,International,2018-10-09 19:00:00,2018-10-10 12:00:00,0,14,Clarksville,MN,
libero@vitae.com,Environment Guest Speaker,Human Rights,2020-02-12 00:00:00,2020-02-12 21:00:00,0,4,Grand Island,LA,
Integer.vitae@Quisquepurus.co.uk,Animals Charity,Youth,2018-09-30 05:00:00,2018-10-01 02:00:00,0,16,Colorado Springs,AK,
arcu.vel@ligulaeuenim.com,Disaster Relief Social Media Fundraising,Sports,2019-05-14 15:00:00,2019-05-15 12:00:00,0,8,Pittsburgh,MO,
eget.venenatis.a@congueelitsed.com,International Social Media Fundraising,Hunger,2018-01-07 00:00:00,2018-01-07 09:00:00,0,20,Anchorage,OH,
sed.tortor.Integer@Crasdictumultricies.co.uk,International Social Media Fundraising,International,2018-07-22 14:00:00,2018-07-22 18:00:00,0,20,Jackson,AR,
imperdiet@turpisNulla.com,Education Foundation,Animals,2018-04-21 00:00:00,2018-04-21 07:00:00,0,24,Rockville,MD,
consectetuer.adipiscing.elit@Nunccommodoauctor.co.uk,International Social Media Fundraising,Animals,2020-01-09 11:00:00,2020-01-10 07:00:00,0,3,Missoula,ME,
dui@elitpellentesquea.edu,Seniors Charity,Politics,2020-03-24 03:00:00,2020-03-24 12:00:00,0,16,Chandler,VA,
ut.nulla.Cras@quamdignissim.org,Hunger Walk,LGBT,2018-09-06 03:00:00,2018-09-06 05:00:00,0,7,Lexington,MA,
fringilla@sitamet.co.uk,LGBT Walk,Seniors,2019-05-23 12:00:00,2019-05-24 12:00:00,0,7,Augusta,KY,
nec.cursus.a@purusmaurisa.co.uk,Human Rights Drive,Health,2020-02-27 08:00:00,2020-02-27 21:00:00,0,22,Bear,CO,
sociosqu@eu.edu,Women Walk,Politics,2018-05-17 00:00:00,2018-05-17 08:00:00,0,5,Harrisburg,NV,
Sed.dictum@lectusante.edu,Technology Foundation,Human Rights,2019-01-15 21:00:00,2019-01-16 21:00:00,0,10,Olympia,FL,
